#,Black player,Rank,White player,Rank,Result,# moves,Date,Event,Round
1,Lee Sedol,9p,Iyama Yuta,9p,B+R,227,2017-02-27, , 
2,Park Jungsang,9p,Ch'oe Ch'eol-han,9p,W+R,152,2017-02-27, , 
3,janghyeryeong [~],1p ?,bagtaehyi [~],1p ?,W+R,155,2017-02-26, , 
4,oyujin [~],5p,joseung'a [~],1p ?,B+R,129,2017-02-26, , 
5,iyeongju [~],2p,ojeong'a [~],3p,W+R,220,2017-02-26, , 
6,beihai [~],9p,ORO,9p,W+R,251,2017-02-26, , 
7,Kim Eunseon,5p,Li He,5p,B+2.5,342,2017-02-25, , 
8,Jin Caiying,2p,Kim Hyeomin,8p,B+R,221,2017-02-25, , 
9,iyujin [~],1p ?,Cho Hyeyeon,9p,W+6.5,259,2017-02-25, , 
10,beihai [~],9p,ORO,9p,B+R,205,2017-02-25, , 
11,ORO,9p,beihai [~],9p,B+R,153,2017-02-25, , 
12,Wang Yuanjun,8p,Àµ¾ù¸¨,2p,B+R,231,2017-02-24, , 
13,gweonjuri [~],1p ?,Kim Miri,3p,W+2.5,283,2017-02-24, , 
14,Choi Jung,7p,Park Jiyeon,4p,B+R,141,2017-02-24, , 
15,Kim Yunyoung,4p,ssungrunghui [~],5p,B+1.5,285,2017-02-24, , 
16,Ïò¾®Ç§çø,5p,Kato Keiko,6p,B+R,189,2017-02-24, , 
17,Lee Sula,4p,songhyeryeong [~],1p ?,W+R,206,2017-02-23, , 
18,Park Jieun,9p,gimdayeong [~],1p ?,W+6.5,236,2017-02-23, , 
19,Hane Naoki,9p,Tanaka Nobuyuki,3p,B+R,165,2017-02-23,"Oza, 65th, last preliminary tournament", 
20,O Rissei,9p,É¼±¾Ã÷,8p,B+1.5,238,2017-02-23, , 
21,´óÎ÷ÁúÆ½,2p,Cho Chikun,9p,W+R,234,2017-02-23, , 
22,ÁùÆÖÐÛÌ«,3p,Hikosaka Naoto,9p,W+0.5,299,2017-02-23, , 
23,Rin Kanketsu,7p,Takemiya Masaki,9p, ,207,2017-02-23, , 
